"symptom_name","disease_id","symptoms_questions"
"Balance Problems","10","Do you feel unsteady or off-balance, particularly when standing or walking? Have you experienced falls or loss of coordination?"
"Blurred Vision","4","Do you have difficulty focusing or seeing clearly? Are objects appearing blurry or out of focus?"
"Blurred or Double Vision","10","Do you have difficulty focusing or seeing clearly? Are you experiencing double vision or eye pain?"
"Chest Pain","1","Do you feel pressure or tightness in your chest? Does the pain radiate to your neck, jaw, or arms?"
"Chest Tightness","5","Do you feel pressure or constriction in your chest? Does it worsen during exercise or exposure to allergens?"
"Cough","2","Do you have a dry or productive cough? Is it accompanied by sore throat or congestion?"
"Cough","7","Do you have a dry or productive cough? Is it accompanied by chest discomfort or congestion?"
"Coughing","5","Do you have a persistent cough, particularly at night or early morning? Is it accompanied by wheezing or chest tightness?"
"Decreased Range of Motion","6","Do you have limited movement in your joints? Are you unable to fully bend, straighten, or rotate certain joints?"
"Difficulty Sleeping","5","Do you have trouble sleeping due to coughing, wheezing, or shortness of breath? Do you wake up feeling tired or unrested?"
"Difficulty Speaking or Swallowing","8","Do you have trouble articulating words or swallowing food and liquids? Do you choke or gag frequently?"
"Difficulty Walking","3","Do you have trouble walking or standing upright due to pain or weakness? Do you experience difficulty with balance or coordination?"
"Extreme Hunger","4","Do you feel hungry all the time, even after eating? Do you experience sudden hunger pangs or cravings?"
"Fatigue","1","Do you often feel tired or exhausted, even after resting? Do you experience weakness or lack of energy?"
"Fatigue","2","Do you feel extremely tired or exhausted? Is it difficult to carry out daily activities due to fatigue?"
"Fatigue","4","Do you feel tired or exhausted, even after getting enough rest? Is it difficult to concentrate or stay alert?"
"Fatigue","6","Do you feel tired or exhausted, especially during flare-ups or after physical activity? Is it difficult to carry out daily tasks due to fatigue?"
"Fatigue","7","Do you feel tired or run down? Is it difficult to concentrate or stay alert?"
"Fatigue","8","Do you feel unusually tired or weak, even after minimal physical activity? Is it difficult to carry out daily tasks due to fatigue?"
"Fatigue","10","Do you feel excessively tired or exhausted, even after getting enough rest? Does fatigue interfere with daily activities or work?"
"Fever","2","Do you have a high temperature, typically above 100.4°F (38°C)? Are you experiencing chills or sweating?"
"Frequent Lung Infections","9","Do you experience recurrent respiratory infections, such as bronchitis or pneumonia? Do they require antibiotics for treatment?"
"Frequent Urination","4","Do you need to urinate more often than usual, especially at night? Do you experience an urgent need to urinate?"
"Headache","2","Do you have a severe headache, often accompanied by facial pressure or pain behind the eyes?"
"High Blood Pressure","1","Do you experience frequent headaches or dizziness? Have you noticed swelling in your ankles or feet?"
"Increased Thirst","4","Are you unusually thirsty, even after drinking fluids? Do you feel dehydrated or have a dry mouth?"
"Irregular Heartbeat","1","Do you feel your heart fluttering, pounding, or skipping beats? Do you have episodes of rapid heartbeat?"
"Joint Pain","6","Do you experience pain, stiffness, or swelling in one or more joints? Does it worsen with movement or in the morning?"
"Joint Stiffness","6","Do you have difficulty moving your joints, especially after periods of inactivity? Does stiffness improve with movement?"
"Joint Swelling","6","Do you notice swelling or inflammation around your joints? Does it feel warm or tender to the touch?"
"Leg Pain","3","Do you have sharp, shooting pain down one or both legs? Is the pain aggravated by certain movements or positions?"
"Lower Back Pain","3","Do you experience pain or discomfort in your lower back? Does it radiate to your buttocks, legs, or feet?"
"Muscle Aches","2","Do you experience body aches or muscle pain, particularly in your back, arms, or legs?"
"Muscle Cramps","8","Do you experience involuntary muscle contractions or spasms? Do they occur more frequently during physical activity?"
"Muscle Twitching","8","Do you feel sudden, uncontrolled movements or twitches in your muscles? Are they persistent or localized to specific areas?"
"Muscle Weakness","3","Do you notice a decrease in muscle strength or difficulty lifting objects? Is there a loss of reflexes in your legs or feet?"
"Muscle Weakness","8","Do you notice a gradual or progressive loss of muscle strength? Is it affecting your ability to grip objects or walk?"
"Muscle Weakness","10","Do you notice weakness or heaviness in your arms or legs? Does it affect your ability to walk, lift objects, or perform tasks?"
"Numbness or Tingling","3","Do you feel tingling or numbness in your buttocks, legs, or feet? Is it accompanied by weakness in your legs or feet?"
"Numbness or Tingling","10","Do you experience numbness, tingling, or pins-and-needles sensations in your limbs? Does it occur on one side of the body or both?"
"Persistent Cough","9","Do you have a chronic cough, lasting for several weeks or months? Is it accompanied by thick, sticky mucus?"
"Poor Growth or Weight Gain","9","Do you have difficulty gaining weight or growing at a normal rate, despite adequate caloric intake?"
"Runny or Stuffy Nose","7","Do you have a runny or congested nose? Are you experiencing difficulty breathing through your nose?"
"Salty-Tasting Skin","9","Do you notice a salty or metallic taste on your skin, particularly after sweating? Does it leave a residue on surfaces?"
"Shortness of Breath","1","Do you have difficulty breathing, especially during physical activity? Do you wake up at night feeling short of breath?"
"Shortness of Breath","5","Do you experience difficulty breathing, especially during physical activity or at night? Do you wheeze or feel tightness in your chest?"
"Shortness of Breath","9","Do you have difficulty breathing, especially during physical activity or when lying down? Do you feel breathless or wheezy?"
"Sneezing","7","Do you sneeze frequently, particularly in response to irritants or allergens? Do you have a sudden urge to sneeze?"
"Sore Throat","7","Do you have pain or irritation in your throat, especially when swallowing? Is it accompanied by redness or swelling?"
"Wheezing","5","Do you hear a whistling or squeaking sound when you breathe? Does it occur more often during asthma flare-ups?"
